lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,temperature,alpha_prior,temperature_prior,pe,value.1,value.2,theta.1,theta.2,log_lik
# Adaptation terminated
# Step size = 0.152006
# Diagonal elements of inverse mass matrix:
# 0.648707, 1.61908
-14.0228,0.997416,0.152006,4,19,0,15.1899,0.776774,3.6081,0.742772,4.99501,0.0946936,-0.996136,0.978862,0.00104718,0.998953,-10.3591
-13.516,1,0.152006,3,7,0,14.0486,0.751915,4.41545,0.424377,19.8141,0.115517,-0.994289,0.971342,0.000249545,0.99975,-10.0768
-14.254,0.971703,0.152006,4,23,0,14.9487,0.906719,15.6103,0.381376,16.2348,0.0172511,-0.999863,0.998391,3.62229e-14,1,-10.0197
-14.4659,0.991877,0.152006,4,15,0,15.1382,0.938905,10.4281,0.964375,17.845,0.00743724,-0.999974,0.999546,9.46349e-10,1,-10.2194
-14.9799,0.995829,0.152006,4,15,0,15.3621,0.910637,5.2716,0.116598,0.724741,0.0158441,-0.999884,0.998584,2.86865e-05,0.999971,-10.8319
-13.8728,1,0.152006,3,7,0,15.1724,0.875045,5.91384,0.445297,5.67928,0.03074,-0.999573,0.996159,8.77705e-06,0.999991,-10.0905
-14.1382,0.995572,0.152006,3,7,0,14.4088,0.891187,6.03184,0.824517,0.884253,0.0234003,-0.99975,0.997454,6.64906e-06,0.999993,-10.2472
-14.0965,1,0.152006,2,3,0,14.1644,0.892311,6.21192,0.0952696,1.12043,0.0229248,-0.99976,0.997531,4.64398e-06,0.999995,-10.2129
-14.13,0.999887,0.152006,2,3,0,14.1533,0.894595,6.25934,0.566034,17.2527,0.0219735,-0.999779,0.997684,4.20278e-06,0.999996,-10.2317
-14.4277,1,0.152006,4,31,0,14.6843,0.918939,16.5666,0.720589,11.0949,0.0130555,-0.999921,0.998942,5.0692e-15,1,-9.88013
-15.7209,0.976298,0.152006,3,15,0,17.7185,0.960947,17.9899,0.961451,10.3496,0.0030456,-0.999996,0.999881,2.50056e-16,1,-10.0348
-15.5351,0.999561,0.152006,1,3,0,15.8273,0.958188,17.9142,0.347071,12.0169,0.00349038,-0.999994,0.999854,2.93191e-16,1,-9.94714
-15.1248,1,0.152006,3,7,0,15.6064,0.945432,18.0796,0.0530699,17.7516,0.00593764,-0.999983,0.999676,2.20303e-16,1,-9.71627
-14.5169,0.995556,0.152006,4,15,0,15.6989,0.901129,16.16,0.31204,18.3213,0.0193599,-0.999828,0.998086,1.26088e-14,1,-10.2354
-15.8009,0.981904,0.152006,4,15,0,16.0947,0.960531,9.74492,0.155807,6.35242,0.00311069,-0.999995,0.999877,3.53882e-09,1,-11.1414
-17.6878,0.994404,0.152006,4,31,0,18.4532,0.881081,19.4571,0.6509,7.24274,0.0278837,-0.999648,0.996684,2.1798e-17,1,-11.7979
-16.4181,0.998627,0.152006,2,7,0,18.0277,0.907572,19.2805,0.815126,10.921,0.0169398,-0.999868,0.998434,2.48975e-17,1,-10.5783
-14.8859,0.993003,0.152006,4,31,0,17.1916,0.951814,11.9615,0.507552,16.0971,0.00463307,-0.99999,0.999777,4.30979e-11,1,-10.3783
-15.1691,0.998476,0.152006,4,15,0,15.5892,0.867866,15.7319,0.713419,10.237,0.0343093,-0.999471,0.995467,3.74507e-14,1,-11.2189
-13.9911,0.963012,0.152006,2,7,0,17.8014,0.924047,14.4926,0.0991578,19.7137,0.0114712,-0.999938,0.999129,3.05127e-13,1,-9.72269
-16.0982,0.992283,0.152006,4,15,0,16.4658,0.965724,18.117,0.988743,5.68112,0.0023469,-0.999997,0.99992,1.9153e-16,1,-10.2282
-17.0943,0.99157,0.152006,4,15,0,18.839,0.977134,10.8648,0.652312,13.8378,0.00104519,-0.999999,0.999976,3.69748e-10,1,-11.8992
-16.7551,0.999575,0.152006,3,7,0,17.2013,0.975335,12.0565,0.779203,7.01383,0.00121597,-0.999999,0.99997,3.42139e-11,1,-11.5982
-15.1012,1,0.152006,2,7,0,17.4199,0.957844,13.8998,0.841624,4.441,0.00354796,-0.999994,0.99985,8.87628e-13,1,-10.3405
