lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,temperature,alpha_prior,temperature_prior,pe,value.1,value.2,theta.1,theta.2,log_lik
# Adaptation terminated
# Step size = 0.229321
# Diagonal elements of inverse mass matrix:
# 0.626041, 1.61151
-14.8895,1,0.229321,2,3,0,14.9318,0.948085,17.1669,0.590092,3.60555,0.00537572,-0.999986,0.999721,1.3465e-15,1,-9.77097
-17.1933,0.981011,0.229321,3,7,0,17.4037,0.971391,19.1122,0.600962,7.32423,0.00163556,-0.999999,0.999953,2.58795e-17,1,-10.4501
-13.4622,0.965268,0.229321,3,13,0,18.0892,0.84993,9.49357,0.924463,19.5693,0.0440276,-0.999138,0.993393,8.6911e-09,1,-10.0141
-13.6801,0.990418,0.229321,3,11,0,13.8221,0.82059,4.71003,0.798307,3.85868,0.0623035,-0.998299,0.988822,0.000109596,0.99989,-10.0497
-13.6673,0.988562,0.229321,3,7,0,14.1831,0.714863,5.39431,0.568383,7.79001,0.149386,-0.990506,0.957404,4.8613e-05,0.999951,-10.4522
-15.4715,0.964861,0.229321,4,15,0,15.9383,0.962446,16.3211,0.142968,17.0993,0.00281665,-0.999996,0.999894,6.97637e-15,1,-10.2549
-14.86,0.990587,0.229321,2,7,0,16.5726,0.938237,17.7366,0.401329,6.69538,0.0076002,-0.999973,0.999531,4.49679e-16,1,-9.71286
-15.0368,0.996187,0.229321,2,3,0,15.0649,0.946161,17.8227,0.26184,0.218305,0.00578057,-0.999984,0.999689,3.66634e-16,1,-9.72675
-15.2235,0.996029,0.229321,1,3,0,15.2963,0.95029,17.9927,0.0740551,10.027,0.00492994,-0.999988,0.999755,2.57254e-16,1,-9.76624
-15.2482,1,0.229321,3,7,0,15.2697,0.949826,18.0888,0.330885,0.864351,0.00502227,-0.999988,0.999748,2.1274e-16,1,-9.75604
-14.5047,0.996901,0.229321,3,15,0,15.5955,0.945777,15.0088,0.938535,5.48834,0.00586304,-0.999984,0.999682,1.00435e-13,1,-9.85912
-15.3555,0.984202,0.229321,3,7,0,15.6611,0.961243,13.4601,0.677867,15.8635,0.00299967,-0.999996,0.999884,2.11964e-12,1,-10.5517
-17.4989,0.980822,0.229321,3,7,0,17.9335,0.871357,19.0977,0.546434,4.19033,0.0325505,-0.999523,0.995813,4.85181e-17,1,-12.1658
-18.2567,0.973164,0.229321,2,3,0,18.5928,0.861222,19.2898,0.446838,19.774,0.0377769,-0.999361,0.994757,3.68929e-17,1,-12.7584
-16.4848,1,0.229321,2,3,0,18.2193,0.89369,18.9968,0.290746,15.7044,0.022348,-0.999772,0.997624,4.85137e-17,1,-11.087
-15.9689,0.991554,0.229321,3,15,0,17.2046,0.952154,19.0838,0.417104,5.27622,0.00456807,-0.99999,0.999781,2.89713e-17,1,-9.74994
-16.0267,0.99944,0.229321,1,1,0,16.0295,0.952725,19.1215,0.262913,1.22645,0.00445993,-0.99999,0.999789,2.68159e-17,1,-9.75635
-15.3601,0.999842,0.229321,3,7,0,16.24,0.943299,18.5902,0.572512,4.32931,0.00640943,-0.99998,0.999637,8.02858e-17,1,-9.70634
-16.0821,0.968151,0.229321,3,7,0,16.8982,0.967005,17.7615,0.264567,16.3979,0.00217491,-0.999998,0.999928,3.88485e-16,1,-10.3286
-15.7741,0.999884,0.229321,2,3,0,16.1681,0.963853,17.521,0.0194239,15.3037,0.00260985,-0.999997,0.999906,6.32885e-16,1,-10.1969
-15.7475,1,0.229321,1,1,0,15.7912,0.963488,17.5193,0.929819,10.3375,0.00266276,-0.999997,0.999903,6.35646e-16,1,-10.1806
-14.8576,0.991552,0.229321,3,15,0,16.2526,0.861098,14.6185,0.449717,6.62153,0.037843,-0.999359,0.994744,3.52254e-13,1,-11.1079
-13.3818,0.992788,0.229321,3,15,0,15.5505,0.862046,7.43323,0.508818,3.43136,0.0373382,-0.999375,0.994849,4.63582e-07,1,-9.79803
-14.3226,0.940701,0.229321,3,7,0,15.2419,0.820103,3.67426,0.483884,19.4155,0.0626315,-0.998281,0.988733,0.00081453,0.999185,-10.5115
-13.5783,0.991475,0.229321,3,15,0,15.1257,0.720542,5.16244,0.783243,14.2752,0.143995,-0.991174,0.95976,7.2203e-05,0.999928,-10.3228
-13.5287,0.982766,0.229321,2,7,0,14.4362,0.784729,7.23667,0.928477,8.79955,0.0883884,-0.996625,0.980973,1.00626e-06,0.999999,-10.2847
-13.7755,0.987704,0.229321,2,7,0,14.3888,0.747659,6.77933,0.482545,7.24157,0.119243,-0.993921,0.96991,3.02361e-06,0.999997,-10.6119
-15.6002,0.935227,0.229321,3,7,0,15.7079,0.761148,2.54425,0.718792,17.06,0.107591,-0.995035,0.974302,0.00814543,0.991855,-11.6974
