# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = W11_RL_asymmetric_model
# start_datetime = 2024-03-12 18:53:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/98/18p7fygn5473lcp5yfrz9s340000gn/T/RtmpLoYUAL/standata-151eb53196480.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /Users/emmaolsen/Library/Mobile Documents/com~apple~CloudDocs/cognitive_science/00_MS_cogsci/2_adv_cognitive_ modelling/ACMP2_EMMA/simmodels/W11_RL_asymmetric-202403121953-1-0970db.csv
#   diagnostic_file =  (Default)
#   refresh = 1000
#   sig_figs = -1 (Default)
#   profile_file = /Users/emmaolsen/Library/Mobile Documents/com~apple~CloudDocs/cognitive_science/00_MS_cogsci/2_adv_cognitive_ modelling/ACMP2_EMMA/simmodels/W11_RL_asymmetric-profile-202403121953-1-575717.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --O1 --warn-pedantic --name=W11_RL_asymmetric_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha_pos,alpha_neg,temperature
# Adaptation terminated
# Step size = 0.118741
# Diagonal elements of inverse mass matrix:
# 1.90551, 0.662042, 1.74442
-16.7614,0.99991,0.118741,4,31,0,17.2535,0.926495,0.931926,11.8048
-15.9541,0.998785,0.118741,3,15,0,17.3002,0.852562,0.894243,13.3361
-16.029,0.996896,0.118741,4,23,0,16.6418,0.622334,0.919533,8.98748
-16.8887,0.996558,0.118741,4,31,0,18.5836,0.912719,0.936841,10.8629
-16.3953,0.999279,0.118741,4,31,0,17.6938,0.683627,0.883224,15.3954
-15.9027,0.999317,0.118741,5,47,0,16.9218,0.655591,0.893809,6.63061
-15.6411,0.999352,0.118741,3,15,0,16.5741,0.72727,0.894235,7.66729
-15.8733,0.991572,0.118741,4,31,0,18.1765,0.532622,0.901337,13.3562
-15.5158,0.997495,0.118741,3,15,0,16.9874,0.683886,0.880808,11.9866
-16.0252,0.996038,0.118741,4,15,0,17.1457,0.380971,0.880685,8.8891
-18.1732,0.989697,0.118741,5,31,0,19.4277,0.883275,0.471615,4.93044
-15.7996,0.996926,0.118741,3,11,0,18.7371,0.853733,0.631267,3.37591
-16.134,0.956776,0.118741,3,11,0,17.5433,0.84466,0.735577,3.1301
-15.3955,0.995822,0.118741,4,23,0,16.7527,0.731784,0.857905,10.4459
-15.4252,0.999674,0.118741,4,31,0,16.0736,0.568733,0.817951,5.23904
-18.3224,0.99486,0.118741,4,15,0,19.7085,0.767104,0.368457,2.79114
-19.3828,0.987769,0.118741,4,15,0,20.5084,0.532478,0.35336,3.49201
-19.2079,0.985025,0.118741,4,15,0,21.1541,0.391619,0.448236,2.76531
-18.1449,1,0.118741,2,3,0,19.2693,0.416507,0.483404,3.13571
-17.0174,0.986667,0.118741,5,31,0,19.1098,0.97811,0.861128,8.18426
-17.3969,0.988218,0.118741,4,31,0,19.1714,0.979442,0.870239,11.2173
-16.9066,0.997647,0.118741,5,31,0,19.2631,0.648126,0.95258,16.2404
-17.2558,0.999738,0.118741,4,15,0,17.5321,0.8113,0.901219,17.8249
-16.7289,0.999664,0.118741,4,15,0,17.4276,0.789805,0.943476,16.889
-16.3844,0.999711,0.118741,4,15,0,16.873,0.777332,0.9407,15.3095
-16.1247,0.997761,0.118741,4,31,0,18.4666,0.883428,0.919349,11.1172
-16.6983,0.990933,0.118741,4,31,0,17.9646,0.68526,0.87725,15.8086
-16.4,0.999822,0.118741,4,15,0,17.0513,0.631171,0.943223,14.3275
-15.3627,0.999089,0.118741,4,31,0,17.6861,0.734359,0.885228,8.65283
-15.2381,0.99738,0.118741,4,23,0,16.0563,0.796857,0.755033,6.02975
-15.3618,0.999586,0.118741,4,31,0,15.8513,0.864302,0.753613,5.32277
-15.6095,0.999263,0.118741,4,31,0,15.912,0.890553,0.857246,7.81223
-17.1625,0.972972,0.118741,4,31,0,18.4088,0.769349,0.926386,5.90128
-15.5714,0.99375,0.118741,4,19,0,18.1138,0.831634,0.639534,4.21117
-18.4007,0.985435,0.118741,5,31,0,18.8323,0.993116,0.838319,5.18009
-18.1295,0.999615,0.118741,4,15,0,18.7354,0.99373,0.776332,6.09693
-16.9537,0.998982,0.118741,5,31,0,19.1374,0.961778,0.910293,12.7894
-17.6658,0.992875,0.118741,5,31,0,19.0327,0.350231,0.939415,17.7174
-19.2379,0.996318,0.118741,4,15,0,19.5222,0.139058,0.904366,18.0577
-17.7773,0.996815,0.118741,5,31,0,21.0071,0.691098,0.927141,19.1973
-16.1808,0.999334,0.118741,5,39,0,18.1799,0.764715,0.913784,7.50654
-15.2278,0.995922,0.118741,4,27,0,17.2453,0.804486,0.758697,5.98621
-15.4614,0.999917,0.118741,4,31,0,15.8071,0.62473,0.895807,10.8438
-16.6115,0.983564,0.118741,4,31,0,17.8553,0.656863,0.883353,15.9468
-17.4479,0.987924,0.118741,3,7,0,17.8309,0.660779,0.856578,16.0906
-15.9483,0.995432,0.118741,3,15,0,19.458,0.65908,0.843032,11.8369
-15.475,0.990579,0.118741,3,15,0,17.701,0.705428,0.886257,11.8769
-17.645,0.985836,0.118741,4,15,0,17.8326,0.886217,0.957935,12.0776
-21.0274,0.991572,0.118741,4,15,0,21.2731,0.966668,0.970517,5.76393
-21.545,0.999914,0.118741,5,31,0,23.8527,0.244873,0.993019,12.9558
-20.7523,0.998841,0.118741,4,15,0,22.4035,0.494103,0.991086,10.5057
-19.0811,0.998167,0.118741,4,23,0,22.3747,0.795092,0.978024,11.8444
-21.561,0.994844,0.118741,5,31,0,21.9048,0.740995,0.861896,19.8259
-19.047,0.992934,0.118741,3,15,0,24.0348,0.526371,0.963976,19.3439
-18.2214,0.999486,0.118741,4,31,0,22.9656,0.503791,0.96203,18.4412
-15.6036,0.999781,0.118741,5,31,0,19.4194,0.588436,0.866112,6.24412
-15.1988,0.995352,0.118741,2,7,0,16.3131,0.624311,0.850115,7.85554
-15.2513,0.998595,0.118741,4,31,0,15.4585,0.767061,0.826847,8.39897
-15.2761,0.997785,0.118741,4,15,0,15.5113,0.675983,0.800139,4.83228
-15.9715,0.997962,0.118741,3,15,0,16.9597,0.880547,0.614298,4.37329
-16.6566,0.972139,0.118741,5,31,0,18.2311,0.58992,0.603092,5.35392
-16.9202,0.973298,0.118741,2,3,0,17.5249,0.555178,0.604124,5.54758
-17.5869,0.977713,0.118741,2,3,0,17.7024,0.562364,0.591576,6.00591
-17.0077,0.997516,0.118741,3,7,0,17.8014,0.594373,0.623831,2.60737
-15.9157,1,0.118741,2,3,0,16.9975,0.604625,0.641069,3.24343
-16.6028,0.998167,0.118741,4,15,0,17.621,0.838286,0.497383,3.14541
-16.8061,0.999874,0.118741,3,7,0,16.8776,0.827353,0.468586,3.52423
-16.7314,0.996598,0.118741,3,7,0,16.9788,0.812057,0.484946,3.82445
